#Size Bubble-Sort Merge-Sort Quick-Sort Selection-Sort
100000 4999853420 1536519 1956380 4999950000
150000 11249810519 2392654 3084437 11249925000
200000 19999864222 3272959 4303474 19999900000
250000 31249665372 4168818 5421971 31249875000
300000 44999331329 5083852 6554728 44999850000
350000 61249817497 6011244 8149331 61249825000
400000 79999407945 6945555 9995822 79999800000
450000 101249764122 7889521 10452908 101249775000
500000 124998683470 8837125 11825607 124999750000
550000 151248700404 9798155 12984083 151249725000
600000 179999678055 10769705 14145428 179999700000
650000 211249334275 11743094 15343875 211249675000
700000 244999265874 12723967 17763765 244999650000
750000 281249050944 13705370 17807169 281249625000
800000 319999342597 14691298 19159293 319999600000
850000 361249354884 15684688 20711636 361249575000
900000 404999095419 16678997 22280410 404999550000
950000 451248551290 17676167 24553905 451249525000
1000000 499998782997 18674169 24754213 499999500000
